日期,品类,竞品店铺,竞品商品名,竞品售价,竞品促销,竞品估算销量,本店对标SKU,本店售价
2025-07-01,服装,竞品D旗舰店,同款连衣裙(竞品D),233.96,,2911,SKU_服_001,269
2025-07-01,服装,竞品E旗舰店,同款T恤(竞品E),95.78,,1250,SKU_服_002,129
2025-07-02,服装,竞品D旗舰店,同款连衣裙(竞品D),234.29,,2000,SKU_服_001,269
2025-07-02,服装,竞品E旗舰店,同款T恤(竞品E),97.81,,2764,SKU_服_002,129
2025-07-03,服装,竞品D旗舰店,同款连衣裙(竞品D),229.19,,2765,SKU_服_001,269
2025-07-03,服装,竞品E旗舰店,同款T恤(竞品E),97.24,,976,SKU_服_002,129
2025-07-04,服装,竞品D旗舰店,同款连衣裙(竞品D),226.25,,1973,SKU_服_001,269
2025-07-04,服装,竞品E旗舰店,同款T恤(竞品E),101.07,,1796,SKU_服_002,129
2025-07-05,服装,竞品D旗舰店,同款连衣裙(竞品D),222.42,,2245,SKU_服_001,269
2025-07-05,服装,竞品E旗舰店,同款T恤(竞品E),99.14,,1423,SKU_服_002,129
2025-07-06,服装,竞品D旗舰店,同款连衣裙(竞品D),232.16,,2107,SKU_服_001,269
2025-07-06,服装,竞品E旗舰店,同款T恤(竞品E),98.78,,2736,SKU_服_002,129
2025-07-07,服装,竞品D旗舰店,同款连衣裙(竞品D),233.44,,2442,SKU_服_001,269
2025-07-07,服装,竞品E旗舰店,同款T恤(竞品E),98.43,,1508,SKU_服_002,129
2025-07-08,服装,竞品D旗舰店,同款连衣裙(竞品D),228.94,,2284,SKU_服_001,269
2025-07-08,服装,竞品E旗舰店,同款T恤(竞品E),96.43,,2437,SKU_服_002,129
2025-07-09,服装,竞品D旗舰店,同款连衣裙(竞品D),230.85,,2932,SKU_服_001,269
2025-07-09,服装,竞品E旗舰店,同款T恤(竞品E),99.72,,1115,SKU_服_002,129
2025-07-10,服装,竞品D旗舰店,同款连衣裙(竞品D),228.29,,1356,SKU_服_001,269
2025-07-10,服装,竞品E旗舰店,同款T恤(竞品E),100.72,,1029,SKU_服_002,129
2025-07-11,服装,竞品D旗舰店,同款连衣裙(竞品D),228.95,,1813,SKU_服_001,269
2025-07-11,服装,竞品E旗舰店,同款T恤(竞品E),99.04,,1691,SKU_服_002,129
2025-07-12,服装,竞品D旗舰店,同款连衣裙(竞品D),228.11,,2319,SKU_服_001,269
2025-07-12,服装,竞品E旗舰店,同款T恤(竞品E),100.57,,1302,SKU_服_002,129
2025-07-13,服装,竞品D旗舰店,同款连衣裙(竞品D),225.0,,1204,SKU_服_001,269
2025-07-13,服装,竞品E旗舰店,同款T恤(竞品E),99.76,,2873,SKU_服_002,129
2025-07-14,服装,竞品D旗舰店,同款连衣裙(竞品D),222.5,,1461,SKU_服_001,269
2025-07-14,服装,竞品E旗舰店,同款T恤(竞品E),97.27,,2998,SKU_服_002,129
2025-07-15,服装,竞品D旗舰店,同款连衣裙(竞品D),225.05,,1585,SKU_服_001,269
2025-07-15,服装,竞品E旗舰店,同款T恤(竞品E),98.91,,2936,SKU_服_002,129
2025-07-16,服装,竞品D旗舰店,同款连衣裙(竞品D),233.81,,2451,SKU_服_001,269
2025-07-16,服装,竞品E旗舰店,同款T恤(竞品E),95.37,,2357,SKU_服_002,129
2025-07-17,服装,竞品D旗舰店,同款连衣裙(竞品D),233.66,,1967,SKU_服_001,269
2025-07-17,服装,竞品E旗舰店,同款T恤(竞品E),99.75,,2540,SKU_服_002,129
2025-07-18,服装,竞品D旗舰店,同款连衣裙(竞品D),221.9,,2191,SKU_服_001,269
2025-07-18,服装,竞品E旗舰店,同款T恤(竞品E),99.01,,1340,SKU_服_002,129
2025-07-19,服装,竞品D旗舰店,同款连衣裙(竞品D),233.43,,2603,SKU_服_001,269
2025-07-19,服装,竞品E旗舰店,同款T恤(竞品E),100.11,,2440,SKU_服_002,129
2025-07-20,服装,竞品D旗舰店,同款连衣裙(竞品D),225.97,,2114,SKU_服_001,269
2025-07-20,服装,竞品E旗舰店,同款T恤(竞品E),97.19,,2303,SKU_服_002,129
2025-07-21,服装,竞品D旗舰店,同款连衣裙(竞品D),231.42,,2743,SKU_服_001,269
2025-07-21,服装,竞品E旗舰店,同款T恤(竞品E),97.24,,1186,SKU_服_002,129
2025-07-22,服装,竞品D旗舰店,同款连衣裙(竞品D),236.2,,2972,SKU_服_001,269
2025-07-22,服装,竞品E旗舰店,同款T恤(竞品E),98.2,,2830,SKU_服_002,129
2025-07-23,服装,竞品D旗舰店,同款连衣裙(竞品D),231.42,,1928,SKU_服_001,269
2025-07-23,服装,竞品E旗舰店,同款T恤(竞品E),97.14,,2496,SKU_服_002,129
2025-07-24,服装,竞品D旗舰店,同款连衣裙(竞品D),228.41,,1955,SKU_服_001,269
2025-07-24,服装,竞品E旗舰店,同款T恤(竞品E),99.55,,1556,SKU_服_002,129
2025-07-25,服装,竞品D旗舰店,同款连衣裙(竞品D),233.91,,1877,SKU_服_001,269
2025-07-25,服装,竞品E旗舰店,同款T恤(竞品E),99.73,,2726,SKU_服_002,129
2025-07-26,服装,竞品D旗舰店,同款连衣裙(竞品D),230.58,,1072,SKU_服_001,269
2025-07-26,服装,竞品E旗舰店,同款T恤(竞品E),97.07,,1841,SKU_服_002,129
2025-07-27,服装,竞品D旗舰店,同款连衣裙(竞品D),233.56,,2907,SKU_服_001,269
2025-07-27,服装,竞品E旗舰店,同款T恤(竞品E),99.24,,1966,SKU_服_002,129
2025-07-28,服装,竞品D旗舰店,同款连衣裙(竞品D),220.48,,1735,SKU_服_001,269
2025-07-28,服装,竞品E旗舰店,同款T恤(竞品E),97.35,,1996,SKU_服_002,129
2025-07-29,服装,竞品D旗舰店,同款连衣裙(竞品D),229.07,,1048,SKU_服_001,269
2025-07-29,服装,竞品E旗舰店,同款T恤(竞品E),99.54,,2607,SKU_服_002,129
2025-07-30,服装,竞品D旗舰店,同款连衣裙(竞品D),233.63,,1462,SKU_服_001,269
2025-07-30,服装,竞品E旗舰店,同款T恤(竞品E),98.92,,1341,SKU_服_002,129
2025-07-31,服装,竞品D旗舰店,同款连衣裙(竞品D),227.1,,975,SKU_服_001,269
2025-07-31,服装,竞品E旗舰店,同款T恤(竞品E),99.9,,2111,SKU_服_002,129
2025-08-01,服装,竞品D旗舰店,同款连衣裙(竞品D),153.24,满300减80，全场包邮,2636,SKU_服_001,269
2025-08-01,服装,竞品E旗舰店,同款T恤(竞品E),62.23,满300减80，全场包邮,5484,SKU_服_002,129
2025-08-02,服装,竞品D旗舰店,同款连衣裙(竞品D),152.02,满300减80，全场包邮,2630,SKU_服_001,269
2025-08-02,服装,竞品E旗舰店,同款T恤(竞品E),65.03,满300减80，全场包邮,2362,SKU_服_002,129
2025-08-03,服装,竞品D旗舰店,同款连衣裙(竞品D),144.69,满300减80，全场包邮,3652,SKU_服_001,269
2025-08-03,服装,竞品E旗舰店,同款T恤(竞品E),65.08,满300减80，全场包邮,3018,SKU_服_002,129
2025-08-04,服装,竞品D旗舰店,同款连衣裙(竞品D),152.44,满300减80，全场包邮,2820,SKU_服_001,269
2025-08-04,服装,竞品E旗舰店,同款T恤(竞品E),65.24,满300减80，全场包邮,2162,SKU_服_002,129
2025-08-05,服装,竞品D旗舰店,同款连衣裙(竞品D),151.09,满300减80，全场包邮,5550,SKU_服_001,269
2025-08-05,服装,竞品E旗舰店,同款T恤(竞品E),65.53,满300减80，全场包邮,3520,SKU_服_002,129
2025-08-06,服装,竞品D旗舰店,同款连衣裙(竞品D),150.03,满300减80，全场包邮,5928,SKU_服_001,269
2025-08-06,服装,竞品E旗舰店,同款T恤(竞品E),64.65,满300减80，全场包邮,3804,SKU_服_002,129
2025-08-07,服装,竞品D旗舰店,同款连衣裙(竞品D),151.87,满300减80，全场包邮,3940,SKU_服_001,269
2025-08-07,服装,竞品E旗舰店,同款T恤(竞品E),66.02,满300减80，全场包邮,1618,SKU_服_002,129
2025-08-08,服装,竞品D旗舰店,同款连衣裙(竞品D),148.05,满300减80，全场包邮,2866,SKU_服_001,269
2025-08-08,服装,竞品E旗舰店,同款T恤(竞品E),64.02,满300减80，全场包邮,2344,SKU_服_002,129
2025-08-09,服装,竞品D旗舰店,同款连衣裙(竞品D),147.86,满300减80，全场包邮,5970,SKU_服_001,269
2025-08-09,服装,竞品E旗舰店,同款T恤(竞品E),62.56,满300减80，全场包邮,4438,SKU_服_002,129
2025-08-10,服装,竞品D旗舰店,同款连衣裙(竞品D),151.24,满300减80，全场包邮,5940,SKU_服_001,269
2025-08-10,服装,竞品E旗舰店,同款T恤(竞品E),63.36,满300减80，全场包邮,1962,SKU_服_002,129
2025-08-11,服装,竞品D旗舰店,同款连衣裙(竞品D),150.47,满300减80，全场包邮,3102,SKU_服_001,269
2025-08-11,服装,竞品E旗舰店,同款T恤(竞品E),64.31,满300减80，全场包邮,5212,SKU_服_002,129
2025-08-12,服装,竞品D旗舰店,同款连衣裙(竞品D),151.02,满300减80，全场包邮,2272,SKU_服_001,269
2025-08-12,服装,竞品E旗舰店,同款T恤(竞品E),67.05,满300减80，全场包邮,5498,SKU_服_002,129
2025-08-13,服装,竞品D旗舰店,同款连衣裙(竞品D),143.77,满300减80，全场包邮,2238,SKU_服_001,269
2025-08-13,服装,竞品E旗舰店,同款T恤(竞品E),62.52,满300减80，全场包邮,2262,SKU_服_002,129
2025-08-14,服装,竞品D旗舰店,同款连衣裙(竞品D),148.76,满300减80，全场包邮,2352,SKU_服_001,269
2025-08-14,服装,竞品E旗舰店,同款T恤(竞品E),63.15,满300减80，全场包邮,2368,SKU_服_002,129
2025-08-15,服装,竞品D旗舰店,同款连衣裙(竞品D),155.16,满300减80，全场包邮,3810,SKU_服_001,269
2025-08-15,服装,竞品E旗舰店,同款T恤(竞品E),64.64,满300减80，全场包邮,5042,SKU_服_002,129
2025-08-16,服装,竞品D旗舰店,同款连衣裙(竞品D),151.6,满300减80，全场包邮,2554,SKU_服_001,269
2025-08-16,服装,竞品E旗舰店,同款T恤(竞品E),67.03,满300减80，全场包邮,4350,SKU_服_002,129
2025-08-17,服装,竞品D旗舰店,同款连衣裙(竞品D),149.62,满300减80，全场包邮,5406,SKU_服_001,269
2025-08-17,服装,竞品E旗舰店,同款T恤(竞品E),63.39,满300减80，全场包邮,5924,SKU_服_002,129
2025-08-18,服装,竞品D旗舰店,同款连衣裙(竞品D),153.41,满300减80，全场包邮,2200,SKU_服_001,269
2025-08-18,服装,竞品E旗舰店,同款T恤(竞品E),63.81,满300减80，全场包邮,5552,SKU_服_002,129
2025-08-19,服装,竞品D旗舰店,同款连衣裙(竞品D),152.8,满300减80，全场包邮,2116,SKU_服_001,269
2025-08-19,服装,竞品E旗舰店,同款T恤(竞品E),64.89,满300减80，全场包邮,4728,SKU_服_002,129
2025-08-20,服装,竞品D旗舰店,同款连衣裙(竞品D),154.63,满300减80，全场包邮,3316,SKU_服_001,269
2025-08-20,服装,竞品E旗舰店,同款T恤(竞品E),64.38,满300减80，全场包邮,4690,SKU_服_002,129
2025-08-21,服装,竞品D旗舰店,同款连衣裙(竞品D),147.98,满300减80，全场包邮,2214,SKU_服_001,269
2025-08-21,服装,竞品E旗舰店,同款T恤(竞品E),66.23,满300减80，全场包邮,2790,SKU_服_002,129
2025-08-22,服装,竞品D旗舰店,同款连衣裙(竞品D),154.21,满300减80，全场包邮,5976,SKU_服_001,269
2025-08-22,服装,竞品E旗舰店,同款T恤(竞品E),62.53,满300减80，全场包邮,4986,SKU_服_002,129
2025-08-23,服装,竞品D旗舰店,同款连衣裙(竞品D),151.76,满300减80，全场包邮,4096,SKU_服_001,269
2025-08-23,服装,竞品E旗舰店,同款T恤(竞品E),64.48,满300减80，全场包邮,4086,SKU_服_002,129
2025-08-24,服装,竞品D旗舰店,同款连衣裙(竞品D),146.39,满300减80，全场包邮,4700,SKU_服_001,269
2025-08-24,服装,竞品E旗舰店,同款T恤(竞品E),64.0,满300减80，全场包邮,5956,SKU_服_002,129
2025-08-25,服装,竞品D旗舰店,同款连衣裙(竞品D),150.79,满300减80，全场包邮,4966,SKU_服_001,269
2025-08-25,服装,竞品E旗舰店,同款T恤(竞品E),61.92,满300减80，全场包邮,1808,SKU_服_002,129
2025-08-26,服装,竞品D旗舰店,同款连衣裙(竞品D),150.99,满300减80，全场包邮,2376,SKU_服_001,269
2025-08-26,服装,竞品E旗舰店,同款T恤(竞品E),67.2,满300减80，全场包邮,4016,SKU_服_002,129
2025-08-27,服装,竞品D旗舰店,同款连衣裙(竞品D),147.91,满300减80，全场包邮,3370,SKU_服_001,269
2025-08-27,服装,竞品E旗舰店,同款T恤(竞品E),66.86,满300减80，全场包邮,5846,SKU_服_002,129
2025-08-28,服装,竞品D旗舰店,同款连衣裙(竞品D),151.23,满300减80，全场包邮,5938,SKU_服_001,269
2025-08-28,服装,竞品E旗舰店,同款T恤(竞品E),65.31,满300减80，全场包邮,3340,SKU_服_002,129
2025-08-29,服装,竞品D旗舰店,同款连衣裙(竞品D),149.23,满300减80，全场包邮,5098,SKU_服_001,269
2025-08-29,服装,竞品E旗舰店,同款T恤(竞品E),64.01,满300减80，全场包邮,2392,SKU_服_002,129
2025-08-30,服装,竞品D旗舰店,同款连衣裙(竞品D),149.0,满300减80，全场包邮,5222,SKU_服_001,269
2025-08-30,服装,竞品E旗舰店,同款T恤(竞品E),64.97,满300减80，全场包邮,3816,SKU_服_002,129
2025-08-31,服装,竞品D旗舰店,同款连衣裙(竞品D),147.6,满300减80，全场包邮,5344,SKU_服_001,269
2025-08-31,服装,竞品E旗舰店,同款T恤(竞品E),64.21,满300减80，全场包邮,5938,SKU_服_002,129
